,OrgPos,Page,KeyFrom,NodeFrom,Edge,NodeTo,KeyTo
1135,1197.0,,1197,Habitat marine; spinneret usually present (for alternative see preceding page),Habitat marine; spinneret usually present (for alternative see preceding page),Cuticle not annulated; striae if present very fine,1205
1136,1198.0,,1205,Cuticle annulated,Cuticle annulated,"Annules of rod-like marks; pharynx cyatholaimoid, vestibule ribbed; amphid a transverse slit",1202
1137,1199.0,,1202,Annules not resolvable into dote or rod-like elements,Annules not resolvable into dote or rod-like elements,"Head rounded; annules plain; setae many, short, ±irregular on calvarium ... .",1201
1138,1200.0,,1201,"Head truncate; annules interrupted; ceph. set. 4; phar. ribs long., serrate .. ","Head truncate; annules interrupted; ceph. set. 4; phar. ribs long., serrate .. ",Rhabdotoderma Marion 1870,Rhabdotoderma Marion 1870
1139,1201.0,,1201,"Head rounded; annules plain; setae many, short, ±irregular on calvarium ... . ","Head rounded; annules plain; setae many, short, ±irregular on calvarium ... . ",Croconema Cobb 1920,Croconema Cobb 1920
1140,1202.0,,1202,"Annules of rod-like marks; pharynx cyatholaimoid, vestibule ribbed; amphid a transverse slit","Annules of rod-like marks; pharynx cyatholaimoid, vestibule ribbed; amphid a transverse slit","Ceph. set. 10; annules with V-shaped marks laterally, ""basket-work"" on neck ... .",1204
1141,1203.0,,1204,"Ceph. set. 4, labial papillae setose; annules plain laterally .... . ","Ceph. set. 4, labial papillae setose; annules plain laterally .... . ",Dicriconema Steiner & Hoeppli 1926,Dicriconema Steiner & Hoeppli 1926
1142,1204.0,,1204,"Ceph. set. 10; annules with V-shaped marks laterally, ""basket-work"" on neck ... .","Ceph. set. 10; annules with V-shaped marks laterally, ""basket-work"" on neck ... .", Rhips Cobb 1920, Rhips Cobb 1920
1143,1205.0,,1205,Cuticle not annulated; striae if present very fine,Cuticle not annulated; striae if present very fine,Head without calvarium,1213
1144,1206.0,,1213,Head with subcuticular calvanum; amphid with internal pocket; Enoplidae,Head with subcuticular calvanum; amphid with internal pocket; Enoplidae,Calvarium relatively simple. a band with undulating margins; glands lateral,1208
1145,1207.0,,1208,"Calvarium complex, ornate, long-conoid .................. . ........... .. .. ","Calvarium complex, ornate, long-conoid .................. . ........... .. .. ",Thoracostoma Marion 1870,Thoracostoma Marion 1870
1146,1208.0,,1208,Calvarium relatively simple. a band with undulating margins; glands lateral,Calvarium relatively simple. a band with undulating margins; glands lateral,"Pharynx narrow, ±filled by onchia, dorsal largest; cervical setae many; nema 8-17 mm.",1210
1147,1209.0,,1210,Pharynx wide; lips with denticles; odontia present(?); nema 20-34 mm .. . ,Pharynx wide; lips with denticles; odontia present(?); nema 20-34 mm .. . ,Cylicolaimus de Man 1889,Cylicolaimus de Man 1889
1148,1210.0,,1210,"Pharynx narrow, ±filled by onchia, dorsal largest; cervical setae many; nema 8-17 mm.","Pharynx narrow, ±filled by onchia, dorsal largest; cervical setae many; nema 8-17 mm.",Odont1a absent; cephahc setae short or medium .... . ....................... .,1212
1149,1211.0,,1212,Odont!a present; cepha;lic setae long ....... _. ........................... . ... . ,Odont!a present; cepha;lic setae long ....... _. ........................... . ... . ,Fiacra Southern 1914,Fiacra Southern 1914
1150,1212.0,,1212,Odont1a absent; cephahc setae short or medium .... . ....................... . ,Odont1a absent; cephahc setae short or medium .... . ....................... . ,Synonchus Cobb 1894 ( =Jagerskioldia Fil. 1916),Synonchus Cobb 1894 ( =Jagerskioldia Fil. 1916)
1151,1213.0,,1213,Head without calvarium,Head without calvarium,"Amphid with internal pocket; pharynx large, open, squarish, ribbed vestibule absent",1217
1152,1215.0,,1217,"Amphid spiral; pharynx small, irregularly conoid, vestibule ribbed ....... . ","Amphid spiral; pharynx small, irregularly conoid, vestibule ribbed ....... . ",(Chromaspirina Fil. 1918) (=Mesodoru.s Cobb 1920),(Chromaspirina Fil. 1918) (=Mesodoru.s Cobb 1920)
1153,1217.0,,1217,"Amphid with internal pocket; pharynx large, open, squarish, ribbed vestibule absent","Amphid with internal pocket; pharynx large, open, squarish, ribbed vestibule absent","Pharynx 2-5 chambers, wall thin; amph. large; excretory pore oft at lips; large onch. subventral",1234
1154,1218.0,,1234,"Pharynx not divided, walls ±thick; amph. small; excretory pore oft not at lips; Oncholaiminae","Pharynx not divided, walls ±thick; amph. small; excretory pore oft not at lips; Oncholaiminae","Demanian system absent, or gonenteric duct only",1220
1155,1219.0,,1220,"Demanian system present, with exit pores and developed uvette ..... . . . ","Demanian system present, with exit pores and developed uvette ..... . . . ",Adoncholaimus Fil. 1918,Adoncholaimus Fil. 1918
1156,1220.0,,1220,"Demanian system absent, or gonenteric duct only","Demanian system absent, or gonenteric duct only",Subventral onchia unequal in size; pharynx depth twice its width or more,1226
1157,1221.0,,1226,Subventral onchia equal in size; amphidial opening longer than wide,Subventral onchia equal in size; amphidial opening longer than wide,"Tail short, rounded; gubernaculum present .............................. .",1224
1158,1222.0,,1224,"Tail 33%, filiform, spinneret none; gubernaculum none ................ . ","Tail 33%, filiform, spinneret none; gubernaculum none ................ . ",Filoncholaimus Fil. 1927 ( =Pseudoparoncholaimus Kreis 1932),Filoncholaimus Fil. 1927 ( =Pseudoparoncholaimus Kreis 1932)
1159,1224.0,,1224,"Tail short, rounded; gubernaculum present .............................. .","Tail short, rounded; gubernaculum present .............................. .", Pontonema Leidy 1855 i.=Paroncholaimus Fil. 1916), Pontonema Leidy 1855 i.=Paroncholaimus Fil. 1916)
1160,1226.0,,1226,Subventral onchia unequal in size; pharynx depth twice its width or more,Subventral onchia unequal in size; pharynx depth twice its width or more,Cuticle viscous; pharyngeal bulb none; nema under 3 mm.; tail 6-10%,1229
1161,1227.0,,1229,Cuticle not viscous; phar. bulb clavate; lip reg. set off by constriction . .,Cuticle not viscous; phar. bulb clavate; lip reg. set off by constriction . ., Steineriella Allgen 1932 ( =Steineria Ditlev. 1928), Steineriella Allgen 1932 ( =Steineria Ditlev. 1928)
1162,1229.0,,1229,Cuticle viscous; pharyngeal bulb none; nema under 3 mm.; tail 6-10%,Cuticle viscous; pharyngeal bulb none; nema under 3 mm.; tail 6-10%,"Pharynx not over twice as deep as wide, not filled by onchium; bursa none",1231
1163,1230.0,,1231,"Pharynx very deep, ±filled by subventra.l onch.; bursa present ","Pharynx very deep, ±filled by subventra.l onch.; bursa present ",Oncholaimellus de Man 1890,Oncholaimellus de Man 1890
1164,1231.0,,1231,"Pharynx not over twice as deep as wide, not filled by onchium; bursa none","Pharynx not over twice as deep as wide, not filled by onchium; bursa none","Dorsal wall of pharynx rudimentary, an extension of dorsal tooth ....",1233
1165,1232.0,,1233,Dorsal wall of pharynx well developed .......................... .. ,Dorsal wall of pharynx well developed .......................... .. ,Viscosia (de Man) Fil. 1918,Viscosia (de Man) Fil. 1918
1166,1233.0,,1233,"Dorsal wall of pharynx rudimentary, an extension of dorsal tooth .... ","Dorsal wall of pharynx rudimentary, an extension of dorsal tooth .... ",Meroviscosia Kreis 1932,Meroviscosia Kreis 1932
1167,1234.0,,1234,"Pharynx 2-5 chambers, wall thin; amph. large; excretory pore oft at lips; large onch. subventral","Pharynx 2-5 chambers, wall thin; amph. large; excretory pore oft at lips; large onch. subventral",Oesophageal bulbs none,1238
1168,1235.0,,1238,"Oesophageal bulbs 5-8, serial, contiguous","Oesophageal bulbs 5-8, serial, contiguous","Amphidial opening ±circular; r3' an enchelid, supplements simple . .",1237
1169,1236.0,,1237,"Amphidial opening transverse, slit-like; r3' supplements eurystomoid ..... .","Amphidial opening transverse, slit-like; r3' supplements eurystomoid ..... .", Bolbella Cobb 1920, Bolbella Cobb 1920
1170,1237.0,,1237,"Amphidial opening ±circular; r3' an enchelid, supplements simple . . ","Amphidial opening ±circular; r3' an enchelid, supplements simple . . ",Polygastrophora de Man 1922,Polygastrophora de Man 1922
1171,1238.0,,1238,Oesophageal bulbs none,Oesophageal bulbs none,"External amphid round; pharynx deep; onch. spear-like, exc. Ditlevsenella; r3' oft an enchelid",1244
1172,1239.0,,1244,"External amphid transverse, slit-like; pharynx usually ±square; caudal glands before anus","External amphid transverse, slit-like; pharynx usually ±square; caudal glands before anus","Denticles in 1-3 rows; r3' supplements complex, ""fluked"" ............ .",1241
1173,1240.0,,1241,Denticles forming a broad mid-pharyngeal band; r3' supplements simple …,Denticles forming a broad mid-pharyngeal band; r3' supplements simple …, Thoonchm Cobb 1920, Thoonchm Cobb 1920
1174,1241.0,,1241,"Denticles in 1-3 rows; r3' supplements complex, ""fluked"" ............ . ","Denticles in 1-3 rows; r3' supplements complex, ""fluked"" ............ . ",Eurystomina Fil. 1921 ( =Eurystoma Marion 1870 =Marionella Cobb 1922),Eurystomina Fil. 1921 ( =Eurystoma Marion 1870 =Marionella Cobb 1922)
1175,1244.0,,1244,"External amphid round; pharynx deep; onch. spear-like, exc. Ditlevsenella; r3' oft an enchelid","External amphid round; pharynx deep; onch. spear-like, exc. Ditlevsenella; r3' oft an enchelid",Anterior oesophagus not differentiated,1246
1176,1245.0,,1246,"Anterior oesophagus narrower, lumen wide ......................... . ","Anterior oesophagus narrower, lumen wide ......................... . ",Calyptronema Marion 1870 (=Catalaimus Cobb 1920),Calyptronema Marion 1870 (=Catalaimus Cobb 1920)
1177,1246.0,,1246,Anterior oesophagus not differentiated,Anterior oesophagus not differentiated,"Large onchium 1, other onchia 2",1249
1178,1248.0,,1249,Large onchia 3 .................................... ... ........... . .. . ,Large onchia 3 .................................... ... ........... . .. . ,Fenestrolaimus Fil. 1927,Fenestrolaimus Fil. 1927
1179,1249.0,,1249,"Large onchium 1, other onchia 2","Large onchium 1, other onchia 2","The large onchium long, slender, spear-like",1251
1180,1250.0,,1251,The large onchium conoid; nema 4-6 mm ......... ... ............ . ... . ,The large onchium conoid; nema 4-6 mm ......... ... ............ . ... . ,Ditlevsenella Fil. 1927,Ditlevsenella Fil. 1927
1181,1251.0,,1251,"The large onchium long, slender, spear-like","The large onchium long, slender, spear-like",Pharyngeal chambers behind vestibule more than 2,1254
1182,1252.0,,1254,"Pharyngeal chambers behind vestibule 2; eyes 2 ..... . ......... . .... , .... . ","Pharyngeal chambers behind vestibule 2; eyes 2 ..... . ......... . .... , .... . ",Dilaimus Fil. 1927 (=Amphistenu.s Marion 1870),Dilaimus Fil. 1927 (=Amphistenu.s Marion 1870)
1183,1254.0,,1254,Pharyngeal chambers behind vestibule more than 2,Pharyngeal chambers behind vestibule more than 2,"Chambers (first 2) separated by ""commas""; rings 3; eyes 0 .... .",1256
1184,1255.0,,1256,Chambers separated by 2-4 rings or by dots or denticles ............ ,Chambers separated by 2-4 rings or by dots or denticles ............ ,Symplocostoma Bast. 1865,Symplocostoma Bast. 1865
1185,1256.0,,1256,"Chambers (first 2) separated by ""commas""; rings 3; eyes 0 .... .","Chambers (first 2) separated by ""commas""; rings 3; eyes 0 .... .", Symplocostomella Micol. 1930, Symplocostomella Micol. 1930
1186,1257.0,,1257,Wall of the Pharynx unarmed (for alternative see page 8),Wall of the Pharynx unarmed (for alternative see page 8),"Cavity more or less cylindroid or prismoid, i.e. parallel-sided in long. section (for alt. see page 20)",1665
1187,1258.0,,1665,"Cavity not cyliruJ,roid nO?' prismoid, i._e. cavity conoid_or irregular in long. section (for alt. see page 24)","Cavity not cyliruJ,roid nO?' prismoid, i._e. cavity conoid_or irregular in long. section (for alt. see page 24)","Oesophagus plain, i.e. without median or posterior bulb or swelling (for alternative see preceding page)",1410
1188,1259.0,,1410,"Oesoph~gus with median or posterior bulb or swellmg, or both (for alternative see next page)","Oesoph~gus with median or posterior bulb or swellmg, or both (for alternative see next page)",Amphid known,1282
1189,1260.0,,1282,Amphid not known or obscure,Amphid not known or obscure,"Female known; spinneret none, exc. Dasylaimus",1264
1190,1261.0,,1264,Female not known; spinneret present; cephalic setae present; nema 1% wide; marine,Female not known; spinneret present; cephalic setae present; nema 1% wide; marine,"Cuticle without annules; amphid mmute, at bps ... ............. ... ............ . ....",1263
1191,1262.0,,1263,"Cut!cle w!th d1stmct, anastome>;smg _annules; ~mph1d a transverse slit ...... . .. .. . ","Cut!cle w!th d1stmct, anastome>;smg _annules; ~mph1d a transverse slit ...... . .. .. . ",(Leptonemella Cobb 1920),(Leptonemella Cobb 1920)
1192,1263.0,,1263,"Cuticle without annules; amphid mmute, at bps ... ............. ... ............ . .... ","Cuticle without annules; amphid mmute, at bps ... ............. ... ............ . .... ",(Catanema Cobb 1920),(Catanema Cobb 1920)
1193,1264.0,,1264,"Female known; spinneret none, exc. Dasylaimus","Female known; spinneret none, exc. Dasylaimus",Ovary 1,1268
1194,1265.0,,1268,"Ovaries 2, reflexed; wings present","Ovaries 2, reflexed; wings present",Spmneret O; post. pharynx concave-cyhnd.; oes. with med. bulb; m sheep dung,1267
1195,1266.0,,1267,Sp!nneret pres.;phar.denticulate;oes.w~thout med.J:>ulb;post.ovar:y undev.;marine,Sp!nneret pres.;phar.denticulate;oes.w~thout med.J:>ulb;post.ovar:y undev.;marine, Dasylaimus Cobb 1933, Dasylaimus Cobb 1933
1196,1267.0,,1267,Spmneret O; post. pharynx concave-cyhnd.; oes. with med. bulb; m sheep dung ,Spmneret O; post. pharynx concave-cyhnd.; oes. with med. bulb; m sheep dung ,Rhabditoides Goodey 1929,Rhabditoides Goodey 1929
1197,1268.0,,1268,Ovary 1,Ovary 1,Gonad 9 reflexed; cephalic setae O or minute,1270
1198,1269.0,,1270,"Gonad 9 outstretched, anterior; cephalic setae 4 . . ................ . .... ... . . . ..","Gonad 9 outstretched, anterior; cephalic setae 4 . . ................ . .... ... . . . ..", Walcherenia de Man 1921, Walcherenia de Man 1921
1199,1270.0,,1270,Gonad 9 reflexed; cephalic setae O or minute,Gonad 9 reflexed; cephalic setae O or minute,S_pinneret 0; pharynx not denticulate; oesophagus cephaloboid; not marine,1272
1200,1271.0,,1272,Spinneret present; pharynx denticulate; striae of dots; post. ovary undev.; marine ,Spinneret present; pharynx denticulate; striae of dots; post. ovary undev.; marine ,Dasylaimus Cobb 1933,Dasylaimus Cobb 1933
1201,1272.0,,1272,S_pinneret 0; pharynx not denticulate; oesophagus cephaloboid; not marine,S_pinneret 0; pharynx not denticulate; oesophagus cephaloboid; not marine,Probolae absent; cephalic appendages none or in 1 circlet,1277
1202,1273.0,,1277,Probolae present; amphid at lips; in soil,Probolae present; amphid at lips; in soil,Cephalic appendages in 1 circlet . .. .. ... .. .. . .. .. . .. . .. .. . . . .. . .. .. .. . ........,1275
1203,1274.0,,1275,Cephalic appendages in 2 circlets ... . .. . .. .. ... . ....... . .. . ........ . . ... ..... . . ,Cephalic appendages in 2 circlets ... . .. . .. .. ... . ....... . .. . ........ . . ... ..... . . ,Acrobeles Linst. 1877,Acrobeles Linst. 1877
1204,1275.0,,1275,Cephalic appendages in 1 circlet . .. .. ... .. .. . .. .. . .. . .. .. . . . .. . .. .. .. . ........,Cephalic appendages in 1 circlet . .. .. ... .. .. . .. .. . .. . .. .. . . . .. . .. .. .. . ........, Cephalobu.s Bast. 1865 ( =Acrobeloides (Cobb) Steiner & Bilhrer 1933), Cephalobu.s Bast. 1865 ( =Acrobeloides (Cobb) Steiner & Bilhrer 1933)
1205,1277.0,,1277,Probolae absent; cephalic appendages none or in 1 circlet,Probolae absent; cephalic appendages none or in 1 circlet,Pharyngeal wall not of serial elements; onch. oft pres.; vagina directed ±forward; Turbatricinae,1279
1206,1278.0,,1279,"Pharynr,eal wall a long. series of elements; onch. O; vagina directed inward . . ","Pharynr,eal wall a long. series of elements; onch. O; vagina directed inward . . ",Panagrolaimus Fuchs 1930,Panagrolaimus Fuchs 1930
1207,1279.0,,1279,Pharyngeal wall not of serial elements; onch. oft pres.; vagina directed ±forward; Turbatricinae,Pharyngeal wall not of serial elements; onch. oft pres.; vagina directed ±forward; Turbatricinae,Posterbr pharynx ±open; vulva ±65%; vagina muscular; tail slender .. .... .,1281
1208,1280.0,,1281,Posterior pharynx closed; vulva ±75%; vagina less muscular; tail ±blunt . .. . ,Posterior pharynx closed; vulva ±75%; vagina less muscular; tail ±blunt . .. . ,Plectonchus Fuchs 1930,Plectonchus Fuchs 1930
1209,1281.0,,1281,Posterbr pharynx ±open; vulva ±65%; vagina muscular; tail slender .. .... . ,Posterbr pharynx ±open; vulva ±65%; vagina muscular; tail slender .. .... . ,Turbatrix Peters 1927( =Anguillula auctores),Turbatrix Peters 1927( =Anguillula auctores)
1210,1282.0,,1282,Amphid known,Amphid known,"External amphid spiral, circular or elliptical",1312
1211,1283.0,,1312,"External amphid not spiral, circular nor elliptical","External amphid not spiral, circular nor elliptical",Habitat marine; cephalic setae present; spinneret present,1293
1212,1284.0,,1293,Habitat not marine,Habitat not marine,Spinneret none; ovaries 2,1287
1213,1286.0,,1287,Spinneret present; cephalic setae 4; in fresh water; '9 ... . . .. .. .. ............... ,Spinneret present; cephalic setae 4; in fresh water; '9 ... . . .. .. .. ............... ,Chronogaster Cobb 1913,Chronogaster Cobb 1913
1214,1287.0,,1287,Spinneret none; ovaries 2,Spinneret none; ovaries 2,"Tail not setaceous, 9-15%; amphid inconspicuous, small or slit-like",1289
1215,1288.0,,1289,"Tail setaceous, 19% ;amph. semicirc. ;oesoph. with med. bulb;vulva 21 % ;' 9'","Tail setaceous, 19% ;amph. semicirc. ;oesoph. with med. bulb;vulva 21 % ;' 9'", (Aulolaimoides Micol. 1915), (Aulolaimoides Micol. 1915)
1216,1289.0,,1289,"Tail not setaceous, 9-15%; amphid inconspicuous, small or slit-like","Tail not setaceous, 9-15%; amphid inconspicuous, small or slit-like",Med. oesoph. bulb none; pharynx ovoid; wings O; amphid a slit; in soil; -9-.. .,1292
1217,1290.0,,1292,Med. oesoph. bulb confluent in front; post. phar. closed; in decaying matter;• 9 ' . .. ,Med. oesoph. bulb confluent in front; post. phar. closed; in decaying matter;• 9 ' . .. ,(Cheilobus Cobb 1924)( =Rhabditophanes Fuchs 1930),(Cheilobus Cobb 1924)( =Rhabditophanes Fuchs 1930)
1218,1292.0,,1292,Med. oesoph. bulb none; pharynx ovoid; wings O; amphid a slit; in soil; -9-.. . ,Med. oesoph. bulb none; pharynx ovoid; wings O; amphid a slit; in soil; -9-.. . ,Monhystera Bast. 1865( =M. dintheriana de Man 1885),Monhystera Bast. 1865( =M. dintheriana de Man 1885)
1219,1293.0,,1293,Habitat marine; cephalic setae present; spinneret present,Habitat marine; cephalic setae present; spinneret present,"Ambulatory tubes absent; nema not crooked, not narrowed. in cardiac region",1303
1220,1295.0,,1303,"Ambulatory tubes forming ventral pre-anal sole; nema ±S-shape, narrowed in card. reg.; marine; '9'","Ambulatory tubes forming ventral pre-anal sole; nema ±S-shape, narrowed in card. reg.; marine; '9'","Oesoph. region swollen, ovoid; oesophageal bulbs 1 or 2; band of cervical striae accentuated, exc. Tristicochaeta falcatum",1297
1221,1296.0,,1297,Oesoph. region hardly swollen; card. bulb faint; cerv. striae all alike . . ,Oesoph. region hardly swollen; card. bulb faint; cerv. striae all alike . . ,Notochaetosoma Irwin-Smith 1918,Notochaetosoma Irwin-Smith 1918
1222,1297.0,,1297,"Oesoph. region swollen, ovoid; oesophageal bulbs 1 or 2; band of cervical striae accentuated, exc. Tristicochaeta falcatum","Oesoph. region swollen, ovoid; oesophageal bulbs 1 or 2; band of cervical striae accentuated, exc. Tristicochaeta falcatum",Ventral ambulatory adhesion tubes or setae in 3 or 4 rows .. .. .. .......... .. .,1301
1223,1299.0,,1301,Ventral ambulatory adhesion tubes or setae in 2 rows ... . . . ... ......... .. . . .. . ,Ventral ambulatory adhesion tubes or setae in 2 rows ... . . . ... ......... .. . . .. . ,Drepanonema Cobb 1933( =Chaetosoma Clap. 1863),Drepanonema Cobb 1933( =Chaetosoma Clap. 1863)
1224,1301.0,,1301,Ventral ambulatory adhesion tubes or setae in 3 or 4 rows .. .. .. .......... .. . ,Ventral ambulatory adhesion tubes or setae in 3 or 4 rows .. .. .. .......... .. . ,Tristicochaeta Panceri 1878 (=Draconema Cobb 1913),Tristicochaeta Panceri 1878 (=Draconema Cobb 1913)
1225,1303.0,,1303,"Ambulatory tubes absent; nema not crooked, not narrowed. in cardiac region","Ambulatory tubes absent; nema not crooked, not narrowed. in cardiac region","Amphid large, folded or shepherd's crook; pharynx obvious; ovaries outstretched",1305
1226,1304.0,,1305,"Amphid transverse; pharynx minute; annule~ plain; ceph. set. 10, jointed; o' only ","Amphid transverse; pharynx minute; annule~ plain; ceph. set. 10, jointed; o' only ",Leptonemella Cobb 1920,Leptonemella Cobb 1920
1227,1305.0,,1305,"Amphid large, folded or shepherd's crook; pharynx obvious; ovaries outstretched","Amphid large, folded or shepherd's crook; pharynx obvious; ovaries outstretched","Pharynx under 2%, conoid, not heavy; cephalic setae large, long; odontia 6 or 12",1307
1228,1306.0,,1307,"Pharym 4-5%, heavy,tubular ;amphid 4-50% body;ceph.set.4,subceph.12;-9- ","Pharym 4-5%, heavy,tubular ;amphid 4-50% body;ceph.set.4,subceph.12;-9- ",(Pseudolella Cobb 1920),(Pseudolella Cobb 1920)
1229,1307.0,,1307,"Pharynx under 2%, conoid, not heavy; cephalic setae large, long; odontia 6 or 12","Pharynx under 2%, conoid, not heavy; cephalic setae large, long; odontia 6 or 12",Ovaries 2; cephalic setae 4; odontia 6; vulva 45-67%,1309
1230,1308.0,,1309,"Ovary 1, posterior; cephalic setae 6; odontia 12; vulva 15% .. . . . ......... . . . ","Ovary 1, posterior; cephalic setae 6; odontia 12; vulva 15% .. . . . ......... . . . ",(Synodontium Cobb 1920),(Synodontium Cobb 1920)
1231,1309.0,,1309,Ovaries 2; cephalic setae 4; odontia 6; vulva 45-67%,Ovaries 2; cephalic setae 4; odontia 6; vulva 45-67%,"Tail con01d; nema long, slender; amph1d smaller ......... ... ......... . .. . . .",1311
1232,1310.0,,1311,"Ta!l clava.te; nema shorter, stouter; amp~id larger ........ . . . . . ........... .. ","Ta!l clava.te; nema shorter, stouter; amp~id larger ........ . . . . . ........... .. ",Axonolaimus de. Man 1889,Axonolaimus de. Man 1889
1233,1311.0,,1311,"Tail con01d; nema long, slender; amph1d smaller ......... ... ......... . .. . . . ","Tail con01d; nema long, slender; amph1d smaller ......... ... ......... . .. . . . ",Ascolaimus D1tlev. 1919 ( =Bathylaimus Ditlev. 1918),Ascolaimus D1tlev. 1919 ( =Bathylaimus Ditlev. 1918)
1234,1312.0,,1312,"External amphid spiral, circular or elliptical","External amphid spiral, circular or elliptical",Female known,1335
1235,1313.0,,1335,Female not known,Female not known,Habitat marine,1316
1236,1315.0,,1316,Habitat soil (possibly marine); spinneret present; amphid spiral; ceph. set. 0 . . .. ,Habitat soil (possibly marine); spinneret present; amphid spiral; ceph. set. 0 . . .. ,(Amphispira Cobb 1920),(Amphispira Cobb 1920)
1237,1316.0,,1316,Habitat marine,Habitat marine,Amphid circular or monospire ; spinneret present,1322
1238,1317.0,,1322,Amphid multispire; wings 0; annules very fine,Amphid multispire; wings 0; annules very fine,Pharyngeal bulb present,1319
1239,1318.0,,1319,"Pharyngeal bulb none; lip region not set off; head truncate-conoid; onch. 3, small ","Pharyngeal bulb none; lip region not set off; head truncate-conoid; onch. 3, small ",Alaimonema Cobb 1920,Alaimonema Cobb 1920
1240,1319.0,,1319,Pharyngeal bulb present,Pharyngeal bulb present,"Pharynx none; head ±spherical; amphid behind head; nema slender, 1.4% ... .",1321
1241,1320.0,,1321,"Head cylindroid; lip region discoid, set off by constriction . . .. ... .. ...... .. ","Head cylindroid; lip region discoid, set off by constriction . . .. ... .. ...... .. ",(Choniolaimus Ditlev. 1918),(Choniolaimus Ditlev. 1918)
1242,1321.0,,1321,Head hemispherical; lip region not discoid ... ... . ..... . . . . ..... . .. . . . .. . . .... ,Head hemispherical; lip region not discoid ... ... . ..... . . . . ..... . .. . . . .. . . .... ,(Amphispira Cobb 1920),(Amphispira Cobb 1920)
1243,1322.0,,1322,Amphid circular or monospire ; spinneret present,Amphid circular or monospire ; spinneret present,Nema not cephalated,1326
1244,1323.0,,1326,"Nema cephalated, striae ceasing at constriction","Nema cephalated, striae ceasing at constriction","Pharynx definite; head ±hemispherical; amphid on head; nema wider, 3.8%",1325
1245,1324.0,,1321,"Pharynx none; head ±spherical; amphid behind head; nema slender, 1.4% ... . ","Pharynx none; head ±spherical; amphid behind head; nema slender, 1.4% ... . ",Cinctonema Cobb 1920,Cinctonema Cobb 1920
1246,1325.0,,1325,"Pharynx definite; head ±hemispherical; amphid on head; nema wider, 3.8% ","Pharynx definite; head ±hemispherical; amphid on head; nema wider, 3.8% ",(Micromicron Cobb 1920),(Micromicron Cobb 1920)
1247,1326.0,,1326,Nema not cephalated,Nema not cephalated,Annules none; oesophagus not compound,1328
1248,1327.0,,1328,"Annules strong, each of 8 tile-like elements; oesphagus compound ..... . . . . . . . ","Annules strong, each of 8 tile-like elements; oesphagus compound ..... . . . . . . . ",Dasynemella Cobb 1933(=Dasynema Cobb 1920),Dasynemella Cobb 1933(=Dasynema Cobb 1920)
1249,1328.0,,1328,Annules none; oesophagus not compound,Annules none; oesophagus not compound,"Cephalic setae 4; onchia O; amphid large, not at lips",1330
1250,1329.0,,1330,"Cephalic setae 8 or more; onchium minute; amphid minute, at lips . ... .. ... . . . ","Cephalic setae 8 or more; onchium minute; amphid minute, at lips . ... .. ... . . . ",Catanema Cobb 1920,Catanema Cobb 1920
1251,1330.0,,1330,"Cephalic setae 4; onchia O; amphid large, not at lips","Cephalic setae 4; onchia O; amphid large, not at lips","Wings O; amphids behind head, not joined",1332
1252,1331.0,,1332,"Wing single; amphids on head, large, double, circular, joined dorsally ...... ","Wing single; amphids on head, large, double, circular, joined dorsally ...... ",Antomicron Cobb 1920,Antomicron Cobb 1920
1253,1332.0,,1332,"Wings O; amphids behind head, not joined","Wings O; amphids behind head, not joined","Base pharynx with cuticular ring, prongs 2, vertical; amphid monospire . .",1334
1254,1333.0,,1334,"Base pharynx faintly cuticularized, without ring; amphid circular . .. .. . ","Base pharynx faintly cuticularized, without ring; amphid circular . .. .. . ",Monhysteriella Kreis 1929,Monhysteriella Kreis 1929
1255,1334.0,,1334,"Base pharynx with cuticular ring, prongs 2, vertical; amphid monospire . .","Base pharynx with cuticular ring, prongs 2, vertical; amphid monospire . .", Cricolaimus Southern 1914, Cricolaimus Southern 1914
1256,1335.0,,1335,Female known,Female known,Ovaries 2 (for alternative see preceding page),1352
1257,1336.0,,1352,Ovary 1 (for alternative see next page),Ovary 1 (for alternative see next page),Gonad 9 reflexed; cephalic setae O or minute,1340
1258,1337.0,,1340,"Gonad 9 outstretched, anterior; amphid circular; striae 0, or fine and plain; wings 0","Gonad 9 outstretched, anterior; amphid circular; striae 0, or fine and plain; wings 0",Pharynx long-conoid; neck 17%; spinneret present; in fresh water ....... ... .. .,1339
1259,1338.0,,1339,Pharynx ±quadrate; neck under 5%; crystalline bodies lateral; marine ......,Pharynx ±quadrate; neck under 5%; crystalline bodies lateral; marine ......, (Crystallonema Cobb 1920), (Crystallonema Cobb 1920)
1260,1339.0,,1339,Pharynx long-conoid; neck 17%; spinneret present; in fresh water ....... ... .. .,Pharynx long-conoid; neck 17%; spinneret present; in fresh water ....... ... .. ., (Monhystera Bast.1865) (i.e. subg. Monhystrella Cobb 1918), (Monhystera Bast.1865) (i.e. subg. Monhystrella Cobb 1918)
1261,1340.0,,1340,Gonad 9 reflexed; cephalic setae O or minute,Gonad 9 reflexed; cephalic setae O or minute,Spinneret absent; pharynx not denticulate; not marine,1342
1262,1341.0,,1342,Spinneret present; striae of dots; ph~r. denticulate; post. ovary undev.; marine ,Spinneret present; striae of dots; ph~r. denticulate; post. ovary undev.; marine ,Dasylaimus Gobb 1933,Dasylaimus Gobb 1933
